SEQ,LONG,LAT,LOCAL_ED,LOCALIZACA,REFERENCIA,DATA,MES,H_INICIO,H_FIM,DURACAO,DUR_H,id_estacao,codestacao,latitude,longitude,nome,id_municip,rede,tipoestaca,geocodigo,cidade,xcoord,ycoord
577.00000,-46.62947,-23.54036,AV MERCURIO,AV MERCURIO,R DA CANTAREIRA-UNICO - ESQUERDA-SE,2019/03/07,3.00000,17:38:00,19:23:00,01:45:00,1.75000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
579.00000,-46.64167,-23.53791,AV RIO BRANCO,AV RIO BRANCO,ALTURA DO NUMERO 625-BAIRROCENTRO-SE,2019/03/07,3.00000,17:58:00,19:21:00,01:23:00,1.38000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
580.00000,-46.64084,-23.53828,AV RIO BRANCO,AV RIO BRANCO,ALTURA DO NUMERO 530-BAIRROCENTRO-SE,2019/03/07,3.00000,18:02:00,19:22:00,01:20:00,1.33000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
586.00000,-46.61156,-23.54003,AV CELSO GARCIA,AV CELSO GARCIA,R JOSE DE ALENCAR-CENTROBAIRRO - UNICA-MO,2019/03/09,3.00000,18:00:00,18:00:00,00:00:00,0.00000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
587.00000,-46.61156,-23.54003,AV CELSO GARCIA,AV CELSO GARCIA,R JOSE DE ALENCAR-CENTROBAIRRO - UNICA-MO,2019/03/09,3.00000,18:00:00,18:36:00,00:36:00,0.60000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
604.00000,-46.63891,-23.54979,PQ ANHANGABAU,PQ ANHANGABAU (REPUBLICA),PC DA BANDEIRA - SANTANA/AEROPORTO - ├ÜNICA,2019/03/10,3.00000,21:53:00,00:19:00,23/01/1900 02:26:00,2.43000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
605.00000,-46.62762,-23.55553,VD LESTE-OESTE,VD LESTE-OESTE,AV RADIAL LESTE-OESTE - LAPA/PENHA - ├ÜNICA,2019/03/10,3.00000,21:58:00,01:34:00,23/01/1900 03:36:00,3.60000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
641.00000,-46.62646,-23.53036,R TIBIRICA,R TIBIRICA BOM RETIRO,AV DO ESTADO-UNICO-SE,2019/03/11,3.00000,04:45:00,08:44:00,03:59:00,3.98000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
650.00000,-46.61903,-23.55548,R OSCAR HORTA,R OSCAR HORTA,R DOM BOSCO - ├ÜNICO,2019/03/11,3.00000,06:18:00,12:49:00,06:31:00,6.52000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
674.00000,-46.62408,-23.55482,AV DO ESTADO,AV DO ESTADO BOM RETIRO,R WANDENKOLK-IPIRANGASANTANA - LOCAL-SE,2019/03/11,3.00000,08:42:00,11:26:00,02:44:00,2.73000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
715.00000,-46.63881,-23.54941,AV VINTE E TRES DE MAIO,AV. VINTE E TRES DE MAIO (LIBERDADE),PC DA BANDEIRA - SANTANA/AEROPORTO,2019/03/19,3.00000,18:07:00,18:56:00,00:49:00,0.82000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
728.00000,-46.64177,-23.53758,AV RIO BRANCO,AV RIO BRANCO REPUBLICA,R GAL OSORIO  R AURORA-BAIRROCENTRO - UNICA-SE,2019/04/06,4.00000,14:39:00,16:09:00,01:30:00,1.50000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
